"","Nombre","Provincia","Partido","Circuito","Suplente","Email","Url de imagen"
"1","H.D. MIGUEL LORENZO SALAS OGLESBY","Colón","Partido Panameñista","3-1","Mitre Tejada, Juan Eloy","Msalas@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_miguel_salas_pwc.jpg?itok=NltWDXET"
"2","H.D. FELIPE VARGAS VARGAS","Darién","Partido Revolucionario Democrático","5-1","Paz, Eduardo","Fvargas@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_felipe_vargas_pwc.jpg?itok=BJH1LNRP"
"3","H.D. AIBAN JESÚS VELARDE","Guna Yala","Partido Revolucionario Democrático","10-1","Bolívar, Alex","Avelarde@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/h.d_aiban_velarde_pwc.jpg?itok=VwjhV2nr"
"4","H.D. ATHENAS ATHANASIADIS ROJAS","Chiriquí","Partido Revolucionario Democrático","4-5","Rojas, Alejandro","","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/atenas.jpg?itok=P-75TUyh"
"5","H.D. DIÓGENES VERGARA","Panamá","Partido Revolucionario Democrático","8-10","Navarro De Gracia, Milciades Osvaldo","Dvergara@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_diogenes_vergara_pwc.jpg?itok=5kyXJIgE"
"6","H.D. MARÍA DEL CARMEN DELGADO BLANDÓN","Colón","Partido Revolucionario Democrático","3-1","Corrales Frías, Abilio Anel","Mdelgado@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_maria_delgado_pwc.jpg?itok=CD5DmbDh"
"7","H.D. JAIME PEDROL GUERRA","Ngobe Bugle","Partido Revolucionario Democrático","12-2","Bejerano Bejerano,  Nicolás","Jpguerra@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_jaime_pedrol_guerra_pwc.jpg?itok=AZsnwDgj"
"8","H.D. AUSENCIO EUSEBIO PALACIO PINEDA","Ngobe Bugle","Partido Revolucionario Democrático","12-1","Steel Beker de Jaén, Ceferina","Apalacio@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_ausencio_palacio_pwc.jpg?itok=CErxy3HU"
"9","H.D. ROBERTO ANTONIO AYALA","Panamá","Partido Revolucionario Democrático","8-5","Díaz Sánchez, Diomedes Jacinto","Rayala@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_roberto_ayala_pwc.jpg?itok=6sFAkAHY"
"10","H.D. ALFREDO VÍCTOR PÉREZ DÍAZ","Panamá","Partido Revolucionario Democrático","8-4","Ayola Thompson, Juan José","Aperez@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_alfredo_perez_pwc.jpg?itok=h_t3xVlo"
"11","H.D. CARLOS ALBERTO MOTTA NUQUES","Chiriquí","Partido Revolucionario Democrático","4-2","Cano González, Alexis","Cmotta@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_carlos_a_motta_pwc.jpg?itok=TIYhTzVv"
"12","H.D. LUIS EDUARDO QUIRÓS BERNAL","Panamá","Partido Panameñista","8-8","Broce Urriola, Edison Augusto","Lquiros@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_luis_e_quiros_pwc.jpg?itok=Iwzc8q_q"
"13","H.D. IRACEMA AYARZA DE DALE","Colón","Partido Revolucionario Democrático","3-1","Cerezo Rodríguez, Ricardo Zolio","Iayarza@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_iracema_de_dale_pwc.jpg?itok=pED60g4O"
"14","H.D. ROSA CANTO","Panamá","Partido Revolucionario Democrático","8-1","González Bedoya, José Higinio","Rcanto@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_rosa_canto_pwc.jpg?itok=yMaOpQr4"
"15","H.D. CRISPIANO ADAMES NAVARRO","Panamá","Partido Revolucionario Democrático","8-7","Ríos Herazo, Irving Amed","Cadames@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_crispiano_adames_pwc.jpg?itok=jFEK8-Tl"
